Id,Section,Name,Price,Total Sold,Total Reviews,Shop Location,Sold Status
4369126110,Beauty Supplements Value Sets,"แพ็คเกจใหม่!! คอลลาเจน 200,000mg. Veggie Collagen Powder คอลลาเจนผัก #ผิวขาวใส คุมหิว ผอม",155.0,1465.0,264.0,Bangkok,Sold
4670578150,Beauty Supplements Value Sets,พร้อมส่ง‼️Collagen sure herb คอลลาเจนชัวเฮิร์บ พลัส ผลิตภัณฑ์เสริมอาหาร  ตรา ชัวร์เฮิร์บ 1ห่อ20ซอง,169.0,67.0,28.0,Bangkok,Sold
4250602104,Beauty Supplements Value Sets,ส่งด่วน-พร้อมส่ง❗️ของแท้/มีของแถม✅ Saikono Collagen ไซโกโนะบำรุงผิว ผิวเรียบเนียน กระจ่างใสขึ้น ลดการเกิดสิว,179.0,0.0,0.0,Kalasin,Unsold
3295022909,Beauty Supplements Value Sets,"[ โปรคู่แฝด ] Good skin vitaminC 30 days - กู๊ดสกิน วิตามินซี & กลูต้า ขนาด 100,000 mg. VitaminC & Gluta goota วิตามินเกาหลี วิตามินซีผงชงดื่ม กลูต้าผงชงดื่ม",750.0,88.0,22.0,Bangkok,Sold
4695638099,Beauty Supplements Value Sets,"เออา คอลลาเจน พลัส 10,000 มิลลิกรัม 1 กล่อง",242.84,33.0,1.0,Kalasin,Sold
4596654531,Beauty Supplements Value Sets,แท้ 100% 🧡 YANHEE Callyn Plus ยันฮี คอลลิน พลัส,279.0,537.0,141.0,Bangkok,Sold
2933585968,Beauty Supplements Value Sets,Somin Vita โซมิน ไวต้า วิตามินผิว 1 กระปุก มี 30 Tablets,195.0,390.0,34.0,Bangkok,Sold
4614161187,Beauty Supplements Value Sets,Saikono Collagen 1 กล่องไซโกโนะ คอลลาเจน ผิวออร่า ขาวใส ของแท้ ไม่กรีดรหัส,169.0,231.0,19.0,Pathum Thani,Sold
4650720896,Beauty Supplements Value Sets,คอลลาเจน บูม 1 กล่อง 14 ซอง,240.0,88.0,8.0,Samut Prakan,Sold
2983212627,Beauty Supplements Value Sets,นารีญา NAREEYA ผลิตภัณฑ์เสริมอาหาร นารีญา ตัวช่วยดูแลผู้หญิงทุกวัย ได้จากสารสกัดจากสมุนไพร 100% 1 กระปุก 60 แคปซูล,290.0,0.0,0.0,Nonthaburi,Unsold
4535876337,Beauty Supplements Value Sets,จี บลิ้งค์ ไวต้า ช็อต ผงวิตามินเข้มข้น 1กระปุก 60g. G Blink Vita Shot,127.0,7.0,1.0,Bangkok,Sold
2229554370,Beauty Supplements Value Sets,NBL DHA Algae Oil 330 mg,390.0,1807.0,271.0,Bangkok,Sold
4359427990,Beauty Supplements Value Sets,DHC hyaluron  60 วัน/20วัน  ช่วยให้ผิวนุ่ม เนียน,275.0,37.0,6.0,Nonthaburi,Sold
4636763815,Beauty Supplements Value Sets,ZERINA  MARINE COLLAGEN คอลลาเจน จากปลาทะเล 30 แคปซูล,99.0,0.0,0.0,Chaiyaphum,Unsold
